date,o0900,p10,c1330,hi_am,lo_am,pm_drift,full,sox,yr,pnl
2005-01-03,6139.69,6158.71,6143.12,6183.15,6138.47,-15.590000000000146,3.430000000000291,0.004753512962018203,2005,3.430000000000291
2005-01-06,5988.37,5991.66,5982.12,6002.2,5971.58,-9.539999999999964,-6.25,-0.014889365435227675,2005,6.25
2005-01-10,5935.99,5952.96,5942.85,5962.64,5929.11,-10.109999999999673,6.860000000000582,0.01347789327100024,2005,6.860000000000582
2005-01-13,5879.08,5906.13,5853.94,5921.93,5879.08,-52.19000000000051,-25.140000000000327,0.014235594033165766,2005,-25.140000000000327
2005-01-14,5853.94,5853.76,5889.52,5865.94,5813.15,35.76000000000022,35.58000000000084,-0.014085558569544299,2005,-35.58000000000084
2005-01-17,5889.52,5943.84,5945.27,5960.54,5889.52,1.430000000000291,55.75,0.017593457354166064,2005,55.75
2005-01-18,5945.27,5942.37,5933.57,5964.08,5939.79,-8.800000000000182,-11.700000000000728,0.017593457354166064,2005,-11.700000000000728
2005-01-19,5933.57,5899.71,5895.35,5961.78,5906.08,-4.359999999999673,-38.219999999999345,0.00845859999007792,2005,-38.219999999999345
2005-01-24,5848.91,5840.51,5771.48,5862.62,5822.06,-69.03000000000065,-77.43000000000029,-0.013044249132494024,2005,77.43000000000029
2005-01-25,5771.48,5785.47,5782.75,5796.18,5759.21,-2.7200000000002547,11.270000000000437,-0.0169891700456809,2005,-11.270000000000437
2005-01-26,5782.75,5825.72,5835.37,5835.3,5782.75,9.649999999999636,52.61999999999989,0.01783103592314106,2005,52.61999999999989
2005-01-27,5835.37,5821.58,5842.76,5855.58,5821.3,21.18000000000029,7.390000000000327,0.02613691743401647,2005,-21.18000000000029
2005-01-28,5842.76,5839.81,5879.93,5856.08,5836.47,40.11999999999989,37.17000000000007,0.009023646453031997,2005,37.17000000000007
2005-01-31,5879.93,5944.29,5994.23,5944.47,5879.93,49.9399999999996,114.29999999999927,-0.010429311070924374,2005,-114.29999999999927
2005-02-01,5994.23,5989.92,5981.54,6015.78,5979.92,-8.38000000000011,-12.6899999999996,0.011265208030841745,2005,-12.6899999999996
2005-02-02,5981.54,6059.16,6018.69,6061.25,5981.54,-40.470000000000255,37.149999999999636,0.011139716803644006,2005,37.149999999999636
2005-02-14,6034.6,6116.66,6112.4,6148.95,6034.6,-4.260000000000218,77.79999999999927,0.03581791371355192,2005,4.260000000000218
2005-02-15,6112.4,6112.0,6122.39,6142.44,6109.06,10.390000000000327,9.990000000000691,0.001607274063188946,2005,9.990000000000691
2005-02-16,6122.39,6096.46,6143.49,6134.53,6086.3,47.029999999999745,21.099999999999454,0.0069231121910962035,2005,21.099999999999454
