date,yr,sox,pnl
2023-09-12,2023,0.0009085835910924,102.0
2023-09-14,2023,0.0054700671262237,163.0
2023-09-15,2023,0.0066761036495284,58.0
2023-09-19,2023,0.0046254879343226,-84.0
2023-09-21,2023,-0.0174066643153263,174.0
2023-09-22,2023,-0.0176414686316681,-146.0
2023-09-25,2023,0.0079188942300492,100.0
2023-09-26,2023,0.0071821447780131,-101.0
2023-09-27,2023,-0.0176547296619521,-71.0
2023-09-28,2023,0.009547636066578,23.0
2023-10-02,2023,0.00388776348367,35.0
2023-10-03,2023,0.004239595374881,-86.0
2023-10-05,2023,0.014316260831966,156.0
2023-10-11,2023,0.0128974577126623,-87.0
2023-10-12,2023,0.0073347057433363,75.0
2023-10-13,2023,0.0030498921655364,19.0
2023-10-17,2023,0.0143470693345151,-105.0
2023-10-19,2023,-0.0176161120800308,-111.0
2023-10-20,2023,-0.0133823550952847,40.0
2023-10-23,2023,-0.0153306193712753,90.0
2023-10-25,2023,0.0137636651366968,-11.0
2023-10-30,2023,0.0121282641559141,44.0
2023-10-31,2023,-0.0129869324995585,189.0
2023-11-01,2023,0.0096415273234164,-47.0
2023-11-02,2023,0.0233403505716924,-46.0
2023-11-03,2023,0.0235767787417007,-14.0
2023-11-06,2023,0.0255392543950792,18.0
2023-11-08,2023,0.007712873270264,18.0
2023-11-09,2023,0.0003485565151262,53.0
2023-11-13,2023,0.0403784100059667,20.0
2023-11-15,2023,0.0362184578618121,-12.0
2023-11-16,2023,0.0071956305266214,-15.0
2023-11-17,2023,0.0032353741423294,64.0
2023-11-20,2023,0.0065921967723745,-26.0
2023-11-21,2023,0.0152481560028276,125.0
2023-11-22,2023,-0.0191864543947281,14.0
2023-11-23,2023,0.0032602959180667,36.0
2023-11-24,2023,0.0032602959180667,-48.0
2023-11-27,2023,0.0007930658805432,-90.0
2023-11-30,2023,0.0094154665375771,-8.0
2023-12-04,2023,0.0036755822132965,-50.0
2023-12-05,2023,-0.0119921782000764,-31.0
2023-12-08,2023,0.0279004448930555,16.0
2023-12-11,2023,0.0071059948659655,-18.0
2023-12-12,2023,0.0339730324813136,24.0
2023-12-13,2023,0.0071212769610418,-40.0
2023-12-14,2023,0.0154623961243505,62.0
2023-12-15,2023,0.026690387000589,66.0
2023-12-18,2023,0.0047663558244477,-13.0
2023-12-20,2023,0.005304852343809,66.0
2023-12-22,2023,0.0276794937694315,7.0
2023-12-25,2023,0.0034623499789976,-14.0
2023-12-26,2023,0.0034623499789976,82.0
2023-12-27,2023,0.0180504978404731,97.0
2023-12-28,2023,0.0016969898632188,11.0
2024-01-08,2024,0.0063036442943575,25.0
2024-01-09,2024,0.0327927616442396,69.0
2024-01-10,2024,0.0005341564758472,-54.0
2024-01-12,2024,0.0047075211665563,14.0
2024-01-17,2024,0.013204423025197,-108.0
2024-01-19,2024,0.0335556947874053,-99.0
2024-01-22,2024,0.0402066316099767,-2.0
2024-01-23,2024,0.0025024853450346,70.0
2024-01-24,2024,0.0065335339442849,-8.0
2024-01-25,2024,0.0154169856361798,-29.0
2024-01-30,2024,0.0106331037977016,-53.0
2024-01-31,2024,-0.0155596624637956,62.0
2024-02-01,2024,-0.0136736427630619,-13.0
2024-02-02,2024,0.0045905579076817,-17.0
2024-02-05,2024,0.0131410496019137,70.0
2024-02-15,2024,0.0217605378476246,-95.0
2024-02-21,2024,-0.015639356138243,59.0
2024-02-23,2024,0.049705826788654,39.0
2024-02-26,2024,-0.0112140241720712,-51.0
2024-02-27,2024,0.0104961397867404,-90.0
2024-02-29,2024,-0.0112333481564548,-157.0
2024-03-01,2024,0.0270108199713206,11.0
2024-03-04,2024,0.0428735836443181,-28.0
2024-03-05,2024,0.0106276802486215,17.0
2024-03-07,2024,0.0242016627628423,-41.0
2024-03-08,2024,0.0335939078778613,163.0
2024-03-12,2024,-0.0136311010169873,-244.0
2024-03-13,2024,0.020921434706147,25.0
2024-03-15,2024,-0.0175191776461044,99.0
2024-03-21,2024,0.0159925819203405,220.0
2024-03-22,2024,0.0229105839797165,-72.0
2024-03-25,2024,0.0021192842617623,-26.0
2024-03-28,2024,0.0099074997732837,-38.0
2024-03-29,2024,0.0010734803416361,57.0
2024-04-01,2024,0.0010734803416361,-107.0
2024-04-02,2024,0.0115978724662144,165.0
2024-04-03,2024,-0.0151468128413374,22.0
2024-04-08,2024,0.0132588460640823,44.0
2024-04-09,2024,0.001298989651659,332.0
2024-04-10,2024,0.0094127106824526,27.0
2024-04-11,2024,-0.0165188130926888,-49.0
2024-04-12,2024,0.0242195246693872,-17.0
2024-04-16,2024,-0.0138986944289312,337.0
2024-04-17,2024,0.0088542668461881,213.0
2024-04-19,2024,-0.0165524126893074,315.0
2024-04-23,2024,0.017425647860279,30.0
2024-04-24,2024,0.0221090298316719,-47.0
2024-04-25,2024,0.0105831919264087,-64.0
2024-04-26,2024,0.0196279439706597,49.0
2024-04-29,2024,0.0260561121897102,-1.0
2024-04-30,2024,0.006440999389689,-90.0
2024-05-03,2024,0.0216674653036594,81.0
2024-05-06,2024,0.0240676604384029,81.0
2024-05-07,2024,0.0221068277571514,-17.0
2024-05-09,2024,0.0011494541137917,-110.0
2024-05-13,2024,0.0101391453788732,-58.0
2024-05-14,2024,0.0031322599900582,127.0
2024-05-15,2024,0.016761039084902,54.0
2024-05-16,2024,0.0287830372782644,104.0
2024-05-21,2024,0.0215391469430183,-78.0
2024-05-23,2024,0.0103283146775974,-16.0
2024-05-27,2024,0.0185213364078675,197.0
2024-05-28,2024,0.0185213364078675,63.0
2024-05-29,2024,0.0185695241451697,-144.0
2024-05-30,2024,-0.0185318557994084,113.0
2024-06-04,2024,0.0056896255582274,-248.0
2024-06-06,2024,0.0451833073704084,-5.0
2024-06-11,2024,0.0142153562160975,-122.0
2024-06-12,2024,0.0005557213188125,216.0
2024-06-13,2024,0.0289802399830021,87.0
2024-06-14,2024,0.0147712226515024,240.0
2024-06-18,2024,0.0160387688427401,57.0
2024-06-19,2024,0.0135405495683971,254.0
2024-06-20,2024,0.0135405495683971,235.0
2024-06-24,2024,-0.0127397277366707,299.0
2024-06-26,2024,0.0178980996068149,62.0
2024-07-01,2024,0.0094390611482193,26.0
2024-07-02,2024,0.0008935978919129,-28.0
2024-07-03,2024,0.0123860036697918,109.0
2024-07-04,2024,0.0192480058575399,134.0
2024-07-05,2024,0.0192480058575399,-77.0
2024-07-08,2024,0.0008121421443383,365.0
2024-07-09,2024,0.019252834445071,-60.0
2024-07-11,2024,0.0241691528481231,-71.0
2024-07-15,2024,0.0132516676433329,-232.0
2024-07-16,2024,0.0004363492802834,169.0
2024-07-17,2024,0.004555438054177,-256.0
2024-07-19,2024,0.0051232179207241,-239.0
2024-07-23,2024,0.0399968863676061,-68.0
2024-07-26,2024,-0.0196429445810033,-41.0
2024-07-29,2024,0.0195330605590806,-164.0
2024-08-01,2024,0.070147132501048,-101.0
2024-08-06,2024,-0.0191654947306284,-30.0
2024-08-07,2024,0.0106473132792705,645.0
2024-08-09,2024,0.0686221129754849,-21.0
2024-08-13,2024,0.0072980921339009,-82.0
2024-08-14,2024,0.0418418068139181,89.0
2024-08-16,2024,0.048654565356198,-59.0
2024-08-20,2024,0.0186296600744644,-119.0
2024-08-21,2024,-0.0133426499600308,83.0
2024-08-22,2024,0.0137848084213767,-144.0
2024-08-26,2024,0.0278656942342094,198.0
2024-08-28,2024,0.0110410311240154,215.0
2024-08-29,2024,-0.0182531536024121,-218.0
2024-09-02,2024,0.0257632847840134,79.0
2024-09-03,2024,0.0257632847840134,239.0
2024-09-05,2024,0.0024900189115362,-118.0
2024-09-10,2024,0.0215448896034202,125.0
2024-09-11,2024,0.0118661069052139,-103.0
2024-09-12,2024,0.0490314420798732,-34.0
2024-09-16,2024,0.0167502306856877,-10.0
2024-09-18,2024,0.0003380552455585,-69.0
2024-09-19,2024,-0.0107510026261681,-303.0
2024-09-20,2024,0.0426729007735697,101.0
2024-09-23,2024,-0.0131428063908103,-40.0
2024-09-24,2024,0.0051499382007416,190.0
2024-09-25,2024,0.0131262423370559,-46.0
2024-09-26,2024,0.0080011312350496,-69.0
2024-09-27,2024,0.0346769228371246,191.0
2024-09-30,2024,-0.0175633179549948,348.0
2024-10-04,2024,0.0051008001255099,-41.0
2024-10-07,2024,0.0159271522532735,211.0
2024-10-09,2024,0.0133351293103449,-70.0
2024-10-14,2024,0.0079335995496738,5.0
2024-10-15,2024,0.0180418070667962,63.0
2024-10-17,2024,0.0020698863603234,123.0
2024-10-18,2024,0.0094940514288597,-174.0
2024-10-21,2024,0.000732015193638,-241.0
2024-10-22,2024,0.0012652103628216,57.0
2024-10-24,2024,-0.0114319621015237,73.0
2024-10-25,2024,0.0051136441145347,203.0
2024-10-28,2024,0.0107065094103664,-326.0
2024-10-30,2024,0.0231211876423487,222.0
2024-11-04,2024,0.0110537221407995,243.0
2024-11-06,2024,0.0168536389223965,60.0
2024-11-07,2024,0.03118728782897,-112.0
2024-11-08,2024,0.0227050926360876,-41.0
2024-11-19,2024,0.0114159454980666,221.0
2024-11-20,2024,0.0062162875324467,-175.0
2024-11-22,2024,0.0161334903004555,229.0
2024-11-26,2024,0.0064812946446588,-97.0
2024-11-27,2024,-0.0121012365875955,266.0
2024-11-28,2024,-0.0151291917297811,-25.0
2024-11-29,2024,-0.0151291917297811,-87.0
2024-12-02,2024,0.0151555426426073,292.0
2024-12-03,2024,0.0261358838621674,-71.0
2024-12-05,2024,0.0170616339612301,-14.0
2024-12-06,2024,-0.0186282893837689,154.0
2024-12-09,2024,0.0069493491326744,46.0
2024-12-12,2024,0.0271926777943489,-2.0
2024-12-16,2024,0.0336378179073861,273.0
2024-12-17,2024,0.0206377748175652,141.0
2024-12-18,2024,-0.016413435158655,-181.0
2024-12-20,2024,-0.015592498863403,140.0
2024-12-23,2024,0.0145990473018122,339.0
2024-12-24,2024,0.0309854559297146,112.0
2024-12-25,2024,0.0107076923076923,-8.0
