工作日 273 天，快取於 C:\Users\施伯承\Desktop\Claude\taiwan-flow-live-v2\backtest\cache
[133/273] 2025-12-17 price=2202 inst=2026
[134/273] 2025-12-18 price=2202 inst=2006
[135/273] 2025-12-19 price=2203 inst=2001
[136/273] 2025-12-22 price=2205 inst=2025
[137/273] 2025-12-23 price=2206 inst=2015
[138/273] 2025-12-24 price=2206 inst=2001
[139/273] 2025-12-25 無交易
[140/273] 2025-12-26 price=2206 inst=1992
[141/273] 2025-12-29 price=2207 inst=2023
[142/273] 2025-12-30 price=2209 inst=2025
[143/273] 2025-12-31 price=2207 inst=2035
[144/273] 2026-01-01 無交易
[145/273] 2026-01-02 price=2207 inst=2046
[146/273] 2026-01-05 price=2207 inst=2091
[147/273] 2026-01-06 price=2207 inst=2067
[148/273] 2026-01-07 price=2209 inst=2075
[149/273] 2026-01-08 price=2209 inst=2052
[150/273] 2026-01-09 price=2209 inst=2056
[151/273] 2026-01-12 price=2211 inst=2077
[152/273] 2026-01-13 price=2211 inst=2076
[153/273] 2026-01-14 price=2211 inst=2067
[154/273] 2026-01-15 price=2211 inst=2071
[155/273] 2026-01-16 price=2211 inst=2066
[156/273] 2026-01-19 price=2211 inst=2081
[157/273] 2026-01-20 price=2211 inst=2067
[158/273] 2026-01-21 price=2211 inst=2081
[159/273] 2026-01-22 price=2213 inst=2091
[160/273] 2026-01-23 price=2213 inst=2074
[161/273] 2026-01-26 price=2214 inst=2087
[162/273] 2026-01-27 price=2213 inst=2083
[163/273] 2026-01-28 price=2213 inst=2089
[164/273] 2026-01-29 price=2214 inst=2064
[165/273] 2026-01-30 price=2214 inst=2068
[166/273] 2026-02-02 price=2214 inst=2077
[167/273] 2026-02-03 price=2217 inst=2088
[168/273] 2026-02-04 price=2218 inst=2068
[169/273] 2026-02-05 price=2219 inst=2051
[170/273] 2026-02-06 price=2220 inst=2099
[171/273] 2026-02-09 price=2220 inst=2090
[172/273] 2026-02-10 price=2220 inst=2085
[173/273] 2026-02-11 price=2220 inst=2104
[174/273] 2026-02-12 無交易
[175/273] 2026-02-13 無交易
[176/273] 2026-02-16 無交易
[177/273] 2026-02-17 無交易
[178/273] 2026-02-18 無交易
[179/273] 2026-02-19 無交易
[180/273] 2026-02-20 無交易
[181/273] 2026-02-23 price=2219 inst=2106
[182/273] 2026-02-24 price=2219 inst=2091
[183/273] 2026-02-25 price=2219 inst=2086
[184/273] 2026-02-26 price=2219 inst=2094
[185/273] 2026-02-27 無交易
[186/273] 2026-03-02 price=2219 inst=2092
[187/273] 2026-03-03 price=2219 inst=2083
[188/273] 2026-03-04 price=2219 inst=2084
[189/273] 2026-03-05 price=2219 inst=2076
[190/273] 2026-03-06 price=2219 inst=2071
[191/273] 2026-03-09 price=2220 inst=2089
[192/273] 2026-03-10 price=2220 inst=2089
[193/273] 2026-03-11 price=2220 inst=2090
[194/273] 2026-03-12 price=2220 inst=2083
[195/273] 2026-03-13 price=2220 inst=2086
[196/273] 2026-03-16 price=2220 inst=2099
[197/273] 2026-03-17 price=2220 inst=2090
[198/273] 2026-03-18 price=2220 inst=2076
[199/273] 2026-03-19 price=2219 inst=2079
[200/273] 2026-03-20 price=2219 inst=2075
[201/273] 2026-03-23 price=2220 inst=2093
[202/273] 2026-03-24 price=2220 inst=2068
[203/273] 2026-03-25 price=2221 inst=2071
[204/273] 2026-03-26 price=2221 inst=2063
[205/273] 2026-03-27 price=2221 inst=2035
[206/273] 2026-03-30 price=2222 inst=2084
[207/273] 2026-03-31 price=2224 inst=2078
[208/273] 2026-04-01 price=2222 inst=2082
[209/273] 2026-04-02 price=2222 inst=2053
[210/273] 2026-04-03 無交易
[211/273] 2026-04-06 無交易
[212/273] 2026-04-07 price=2221 inst=2066
[213/273] 2026-04-08 price=2221 inst=2095
[214/273] 2026-04-09 price=2221 inst=2078
[215/273] 2026-04-10 price=2222 inst=2100
[216/273] 2026-04-13 price=2224 inst=2097
[217/273] 2026-04-14 price=2224 inst=2112
[218/273] 2026-04-15 price=2225 inst=2106
[219/273] 2026-04-16 price=2225 inst=2105
[220/273] 2026-04-17 price=2225 inst=2103
[221/273] 2026-04-20 price=2226 inst=2117
[222/273] 2026-04-21 price=2226 inst=2104
[223/273] 2026-04-22 price=2227 inst=2104
[224/273] 2026-04-23 price=2229 inst=2112
[225/273] 2026-04-24 price=2229 inst=2086
[226/273] 2026-04-27 price=2229 inst=2103
[227/273] 2026-04-28 price=2229 inst=2087
[228/273] 2026-04-29 price=2228 inst=2093
[229/273] 2026-04-30 price=2228 inst=2095
[230/273] 2026-05-01 無交易
[231/273] 2026-05-04 price=2228 inst=2110
[232/273] 2026-05-05 price=2229 inst=2104
[233/273] 2026-05-06 price=2229 inst=2112
[234/273] 2026-05-07 price=2228 inst=2111
[235/273] 2026-05-08 price=2228 inst=2102
[236/273] 2026-05-11 price=2228 inst=2131
[237/273] 2026-05-12 price=2229 inst=2127
[238/273] 2026-05-13 price=2229 inst=2105
[239/273] 2026-05-14 price=2229 inst=2122
[240/273] 2026-05-15 price=2229 inst=2109
[241/273] 2026-05-18 price=2229 inst=2108
[242/273] 2026-05-19 price=2229 inst=2102
[243/273] 2026-05-20 price=2230 inst=2108
[244/273] 2026-05-21 price=2229 inst=2110
[245/273] 2026-05-22 price=2229 inst=2113
[246/273] 2026-05-25 price=2229 inst=2126
[247/273] 2026-05-26 price=2228 inst=2120
[248/273] 2026-05-27 price=2228 inst=2121
[249/273] 2026-05-28 price=2228 inst=2122
[250/273] 2026-05-29 price=2228 inst=2129
[251/273] 2026-06-01 price=2229 inst=2130
[252/273] 2026-06-02 price=2228 inst=2118
[253/273] 2026-06-03 price=2229 inst=2133
[254/273] 2026-06-04 price=2229 inst=2115
[255/273] 2026-06-05 price=2229 inst=2112
[256/273] 2026-06-08 price=2229 inst=2123
[257/273] 2026-06-09 price=2307 inst=2119
[258/273] 2026-06-10 price=2232 inst=2131
[259/273] 2026-06-11 price=2305 inst=2095
[260/273] 2026-06-12 price=2232 inst=2128
[261/273] 2026-06-15 price=2232 inst=2119
[262/273] 2026-06-16 price=2234 inst=2135
[263/273] 2026-06-17 price=2315 inst=2124
[264/273] 2026-06-18 price=2238 inst=2130
[265/273] 2026-06-19 無交易
[266/273] 2026-06-22 price=2238 inst=2124
[267/273] 2026-06-23 price=2236 inst=2129
[268/273] 2026-06-24 price=2237 inst=2107
[269/273] 2026-06-25 price=2239 inst=2134
[270/273] 2026-06-26 price=2312 inst=2132
[271/273] 2026-06-29 price=2240 inst=2126
[272/273] 2026-06-30 price=2241 inst=2118
[273/273] 2026-07-01 price=2240 inst=2126
完成
